priority,fit_sl26,agency,location,web,linkedin,angle_sl26,status
1,STRONG 5,10 STAR Agency,"Los Angeles, CA",10staragency.com,linkedin.com/company/10-star-events,White-label interactive 3D touchpoints (kiosks AR projection) inside activations,target
1,STRONG 5,2113 Labs,"Los Angeles, CA",2113labs.com,linkedin.com/company/2113labs,Real-time 3D backbone behind their AI/AR concepts,target
1,STRONG 5,2Heads Global Design (Spiro),"Los Angeles, CA (UK HQ)",spiro.com,linkedin.com/company/2heads,White-label real-time 3D / virtual production for exhibits,target
1,STRONG 5,3rd Ave,"Monterey Park, CA",,,Real-time/interactive 3D content engine complementing physical fab; hiring 3D Spatial Designer,target
1,STRONG 5,AGENC Experiential & Digital Marketing,"Beverly Hills, CA",agen-c.com,linkedin.com/company/agenc-integrated-global-experiences,White-label interactive 3D/projection/AR for pop-ups and premieres,target
1,STRONG 5,Allied Experiential,"New York / LA",alliedglobalmarketing.com/brand-experience,linkedin.com/company/allied-integrated-marketing,Interactive/real-time 3D and AR layer for hybrid activations,target
1,STRONG 5,ALT TERRAIN,"Los Angeles, CA",altterrain.com,linkedin.com/company/alt-terrain,White-label projection mapping and web/AR content engines,target
1,STRONG 5,ASV Inc.,"Torrance, CA",asv1.com,linkedin.com/company/asv-inc-,White-label real-time 3D for exhibits and corporate events,target
1,STRONG 5,BeCore,"Los Angeles, CA",becore.com,linkedin.com/company/becore,Interactive/immersive digital layer (touch projection web-3D),target
1,STRONG 5,Boost Experiential,"Los Angeles, CA",boost-experiential.com,,White-label the digital half of their digital-physical hybrids,target
1,STRONG 5,EIDETIC Marketing,"Los Angeles, CA",eideticmarketing.com,,Interactive/immersive 3D layer for booths and esports activations,target
1,STRONG 5,Evolve Activation,"Sun Valley, CA",evolveactivation.com,linkedin.com/company/evolve-activation,The spectacle digital layer (immersive 3D interactive walls) under their brand,target
1,STRONG 5,FG|PG (Freddie Georges Production Group),"Huntington Beach, CA",fgpg.com,linkedin.com/company/freddie-georges-production-group,White-label interactive/immersive 3D on scenic + multimedia builds,target
1,STRONG 5,Giant Spoon,"Los Angeles / NYC",giantspoon.com,linkedin.com/company/giant-spoon-llc,White-label real-time 3D / interactive for flagship activations and livestreams,target
1,STRONG 5,Hatch.IM,"Inglewood, CA",hatch.im,linkedin.com/company/hatch-im,White-label real-time 3D installations for sponsor activations,target
1,STRONG 5,Infinity Marketing Team,"Culver City, CA",infinitymarketing.com,linkedin.com/company/infinity-marketing-team,Embed white-label interactive 3D into custom environments and gaming activations,target
1,STRONG 5,Innovate Marketing Group,"Los Angeles, CA",innovatemkg.com,linkedin.com/company/innovate-marketing-group,Interactive/immersive 3D toolkit to scale VR/LED without in-house dev,target
1,STRONG 5,Jack Morton Worldwide,"Los Angeles / Boston",jackmorton.com,linkedin.com/company/jack-morton-worldwide,Real-time 3D / virtual production overflow for Jack X (ojo: in-house grande),target
1,STRONG 5,MKTG,"New York / Los Angeles",mktg.com,linkedin.com/company/mktg,White-label interactive fan-engagement installs for stadium/event activations,target
1,STRONG 5,NRG Experiential,"Los Angeles, CA",madewithnrg.com,linkedin.com/company/nrg-marketing-llc,Embed touchscreen/AR/interactive 3D into launches and retail activations,target
1,STRONG 5,PET GORILLA,"Los Angeles, CA",petgorilla.com,,Real-time/interactive 3D engine behind their event and brand-experience work,target
1,STRONG 5,Pico Group,"Los Angeles, CA",pico.com,linkedin.com/company/picolosangeles,White-label real-time 3D tech layer for large installations,target
1,STRONG 5,RMNG,"West Hollywood, CA",rmng.co,linkedin.com/company/rmng,White-label touchscreen/AR sampling and photo-op moments,target
1,STRONG 5,TBA Global,"New York / LA",tbagrp.com,linkedin.com/company/tba-global,White-label interactive/AR/immersive 3D for fan zones and sponsor activations (dominio correcto: tbagrp.com),target
1,STRONG 5,VEE Agency,"Melbourne AU / LA",veeagency.com,,Immersive 3D/interactive layer + upgrade a BetterCast virtual events,target
1,STRONG 5,Mirrored Media,"Los Angeles, CA",mirroredmedia.com,linkedin.com/company/mirrored-media,White-label real-time 3D / immersive installations,en pipeline (waves 1-2)
1,STRONG 5,MKG (thisismkg),"New York / Los Angeles",thisismkg.com,linkedin.com/company/thisismkg,White-label interactive/3D layer for top-brand activations,en pipeline (waves 1-2)
1,STRONG 5,NVE Experience Agency,"West Hollywood, CA",experiencenve.com,linkedin.com/company/experience-nve,Overflow/scale para COGNITION,en pipeline (waves 1-2)
1,STRONG 5,On Board Experiential (OBE),"Sausalito / LA, CA",obexp.com,linkedin.com/company/obexp,Real-time 3D / interactive tech layer under OBE's brand,en pipeline (waves 1-2)
2,GOOD 4,Cal Marketing and Promotion Group (CMPG),"Alhambra, CA",cmpgusa.com,linkedin.com/company/cal-marketing-and-promotion-group-cmpg,Interactive 3D touchpoint to upgrade face-to-face activations,target
